id,city_id,year,residential_water,commercial_water,industrial_water,other_water
141,9,2007,1696496164,448500052,293074628,118539300
142,9,2008,1552770208,416014412,300297316,99245388
143,9,2009,1508102640,406793068,238902224,98602856
144,9,2010,1420096700,410019940,240092292,79769712
145,9,2011,1364958628,397814824,251020572,80614952
146,9,2012,1540716188,436386940,274076924,104292892
147,9,2013,1475241504,420045384,266434608,129994120
148,8,2007,1325335500,729457500,0,0
149,8,2008,1210600500,785544000,0,0
150,8,2009,1280652750,624814000,0,135230250
151,8,2010,1090718250,623145750,0,88005000
152,8,2011,1093334250,603626250,0,72201000
153,8,2012,1187897250,576842250,0,99837000
154,8,2013,1107621000,479002500,0,99694500
155,3,2007,3725397444,5250480872,,432680727.2
156,3,2008,3518567065,5239851054,,381032976.6
157,3,2009,3495585413,5243700530,,402198358.4
158,3,2010,3206300260,7074055729,,598160290.9
159,3,2011,3417276343,7226994202,,639612093.5
160,3,2012,3734472810,7393482140,,739361828.5
161,3,2013,3124024270,6662180571,,690802036.3
162,16,2007,745556373,241895448.3,46614499,0
163,16,2008,666168465,222366647.1,55705029,0
164,16,2009,723129626,239948337.3,66526606,0
165,16,2010,686766534,155890791.1,34238551,0
166,16,2011,676252729,150188814.4,33167277,0
167,16,2012,763347303,178594855.9,39102790,0
168,16,2013,688827201,225348666.9,34347052,69564627
169,16,2007,260798711,,,79405934
170,16,2008,232425677,59466904,0,15545673
171,16,2009,230170631,58479608,0,19035169
172,16,2010,198618344,49462942,0,11768577
173,16,2011,203827957,50810471,0,13894223
174,16,2012,221697967,57394564,0,16486650
175,16,2013,207162763,54527471,0,37474789
176,13,2007,633688987,235121655,,127747350
177,13,2008,569125000,269286000,77773000,1760000
178,13,2009,607891584,,,
179,13,2010,553600000,250000000,71100000,22378000
180,13,2011,618773000,182240000,,63490000
181,13,2012,579801000,244819000,,53638000
182,13,2013,592001000,143874000,51343000,
183,20,2007,2334889000,349952000,38988000,102990000
184,20,2008,2220252000,370547000,37537000,123217703
185,20,2009,2214391000,367812000,38158000,104014000
186,20,2010,1959753000,306172000,69525000,74496000
187,20,2011,2032871000,306167000,118089000,62401000
188,20,2012,2482916000,342932000,50112000,82332266
189,20,2013,2244377000,312906000,55670000,73314000
