city_id,year,residential_water,commercial_water,industrial_water,other_water
195,2007,230336000,222780000,0,18496000
195,2008,224532000,201628000,0,12447000
195,2009,226004000,192498000,0,16543000
195,2010,205173000,196884000,0,18458000
195,2011,207139000,188216000,0,13300000
195,2012,220515000,224822000,0,13313000
195,2013,212718000,214631000,0,12652372
22,2007,2835484000,1644816000,0,0
22,2008,2745691000,1550011000,0,11942000
22,2009,2793238196,1476624381,0,2024790
22,2010,2376264181,1454249851,0,0
22,2011,2448300000,1465000000,0,0
22,2012,2728566519,1553946561,0,0
22,2013,2409412842,1443914894,0,0
56,2007,2138989000,666165000,87863000,12389000
56,2008,1979422000,470899000,86060000,146441000
56,2009,1673314000,494171000,81852000,14405000
56,2010,1436318000,327303000,185596000,412743657
56,2011,1551334000,346539000,133335000,583950172
56,2012,1665368000,509727000,52264000,638529377
56,2013,1496252000,489089000,48994000,126195663
14,2007,2410753400,313017900,86868700,96958500
14,2008,2272379700,310857600,87345500,100987200
14,2009,2259102800,306154500,83753500,95236300
14,2010,2132259300,277311700,80477700,101576400
14,2011,1901105100,271591600,74544200,94074500
14,2012,2167182941,261200474,79537800,95912900
14,2013,1960477900,216181820,77979500,0
5,2007,1492293000,1280071495,1508000000,916822000
5,2008,1499283000,1290094232,1498000000,918823000
5,2009,1624882644,441283056.3,185958874,2303716490
5,2010,1499741490,807335750.3,198027016,2130808900
5,2011,1472467172,848613301.1,194995372,1590722980
5,2012,1535140596,812869204,174557020,1966537628
5,2013,1485513788,652278471.9,144955668,1938530264
17,2007,2374858400,660019300,184579400,127348000
17,2008,2381452000,358145000,129509000,110259000
17,2009,2267971000,708670000,144622000,127666000
17,2010,1917179234,592255339,188892000,113922000
17,2011,1996070000,681829000,131937000,105977000
17,2012,2124698000,734687000,144036000,208842287
17,2013,1967429000,603535000,135943000,246837957
18,2007,2477620000,407280000,441220000,67880000
18,2008,2655860000,430680000,466570000,35890000
18,2009,2296198984,372356592,403386308,31029716
18,2010,1990962120,322858722,349763616,26904894
18,2011,2054680000,350668000,183671000,30859000
18,2012,2211968040,358697520,388588980,29891460
18,2013,2039372000,420619000,201748000,17371000
10,2007,1903815000,599841000,0,44516000
10,2008,1741187529,570902065,0,6757000
10,2009,1776138000,331537500,0,171907650
10,2010,1299661682,372929219,0,206197953
10,2011,1626574500,543375750,0,204374000
10,2012,1833954000,597000750,0,231821500
10,2013,1655865000,535908750,0,212588500
333,2007,423856000,360092000,0,37600000
333,2008,369215000,332814000,0,95400000
333,2009,370441000,337845000,0,76700000
333,2010,325330000,301879000,0,59000000
333,2011,309746000,289955000,0,64000000
333,2012,381934000,345978000,0,119000000
333,2013,350196000,289763000,0,87301000
11,2007,83231999.99,264440851.9,0,0
11,2008,78194618.18,247259594.8,0,0
11,2009,78187885.71,246526503.9,0,0
11,2010,74669049.35,292703750.6,0,305205.1948
11,2011,67616415.58,333358129.8,0,1009870.13
11,2012,73368935.06,386007522.1,0,237132.4675
11,2013,65649787.01,430933277.9,0,0
7,2007,516414937,206704574,0,0
7,2008,540663663,150971236,0,0
7,2009,468585446,194921132,0,0
7,2010,460932957,173794252,0,0
7,2011,451766854,145738559,0,46724591
7,2012,482215345,207832724,0,0
7,2013,455876753,148054311,0,41555118
540,2007,105137832,32494159,0,186450
540,2008,102518008,33478100,0,532480
540,2009,101805001,38892500,0,11158000
540,2010,98427000,33492000,0,14081000
540,2011,99385069,31609010,0,559765
540,2012,101380133,33011680,0,688300
540,2013,97435128,34100424,0,4950100
21,2007,107892707,8746286,0,756182
21,2008,109571442,7851592,0,119704
21,2009,103013898,7988967,0,2935575
21,2010,80722471,7261102,0,4655690
21,2011,92805398,6872329,0,3127435
21,2012,139237000,0,0,0
21,2013,94426982,30608133,0,3999668
12,2007,634425849.3,974921890.8,0,5168290.909
12,2008,585014774,914806192.1,0,4720207.792
12,2009,584364716.8,940563864.9,0,5000727.272
12,2010,492566025.9,1155904831,0,6907511.688
12,2011,484604509.1,1242069943,0,8438774.025
12,2012,679332903.8,1350725984,0,8084945.454
12,2013,506464831.1,1338631480,0,6484862.337
2,2007,8435741201,6133283531,629864616,0
2,2008,8079000000,5798000000,425000000,0
2,2009,8065157859,5613625300,0,0
2,2010,7633035557,5142880369,359065352,0
2,2011,7512024092,4904263557,389628842,0
2,2012,7820850900,4141091408,412367377,1011111148
2,2013,7557270878,3969918842,411017542,950212537
19,2007,1770800000,842200000,0,0
19,2008,1638900000,800200000,0,38500000
19,2009,1679600000,774500000,0,38100000
19,2010,1481300000,708700000,0,18300000
19,2011,1521300000,732600000,0,17200000
19,2012,1720900000,809500000,0,10100000
19,2013,1545000000,730000000,0,14000000
15,2007,903032000,212817000,277000,4933930
15,2008,627573000,462218000,288000,29246490
15,2009,627894000,438636000,284000,19878073
15,2010,718497000,206456000,313000,9919165
15,2011,714415000,189091390,4847000,6769033
15,2012,828552000,208606150,5318000,10975000
15,2013,759723000,193090000,6148000,9113000
6,2007,725621000,491551000,0,0
6,2008,659655000,475212000,0,12156000
6,2009,659046000,468993000,0,16999000
6,2010,569903000,404630000,0,19474068
6,2011,572908000,466834000,0,14442000
6,2012,610802000,485444000,0,12278000
6,2013,562022000,466993000,0,11174000
4,2007,2405960761,1786456359,565394432.7,0
4,2008,2302164272,1778410392,461968540,0
4,2009,2254190004,1632412012,518177000,0
4,2010,2091352500,1592983000,511189300,0
4,2011,2118344723,1534338000,568790500,0
4,2012,2344880549,1688865068,505635284,0
4,2013,2135677329,1555889368,536707952,0
23,2007,755985000,46369000,27251000,33426477
23,2008,771373000,42130000,50233000,33425400
23,2009,785896000,46756000,47592000,32971300
23,2010,668079000,43513000,44587000,36050300
23,2011,719350000,43759000,39042000,36376300
23,2012,807257000,48687000,37715000,44274185
23,2013,719967000,43271000,58979000,59222600
782,2007,1696496164,448500052,293074628,118539300
782,2008,1552770208,416014412,300297316,99245388
782,2009,1508102640,406793068,238902224,98602856
782,2010,1420096700,410019940,240092292,79769712
782,2011,1364958628,397814824,251020572,80614952
782,2012,1540716188,436386940,274076924,104292892
782,2013,1475241504,420045384,266434608,129994120
8,2007,1325335500,729457500,0,0
8,2008,1210600500,785544000,0,0
8,2009,1280652750,624814000,0,135230250
8,2010,1090718250,623145750,0,88005000
8,2011,1093334250,603626250,0,72201000
8,2012,1187897250,576842250,0,99837000
8,2013,1107621000,479002500,0,99694500
3,2007,3725397444,5250480872,0,432680727.2
3,2008,3518567065,5239851054,0,381032976.6
3,2009,3495585413,5243700530,0,402198358.4
3,2010,3206300260,7074055729,0,598160290.9
3,2011,3417276343,7226994202,0,639612093.5
3,2012,3734472810,7393482140,0,739361828.5
3,2013,3124024270,6662180571,0,690802036.3
16,2007,745556373,241895448.3,46614499,0
16,2008,666168465,222366647.1,55705029,0
