id,city,county_id,state,type,sort_order
244,Hanska,8,MN,,
245,Harding,49,MN,,
246,Hardwick,67,MN,,
247,Harmony,23,MN,,
248,Harris,13,MN,,
249,Hartland,24,MN,,
250,Hastings,19,MN,,
251,Hastings,82,MN,,
252,Hatfield,59,MN,,
253,Hawley,14,MN,,
254,Hayfield,20,MN,,
255,Hayward,24,MN,,
256,Hazel Run,87,MN,,
257,Hector,65,MN,,
258,Heidelberg,40,MN,,
259,Henderson,72,MN,,
260,Hendricks,41,MN,,
261,Hendrum,54,MN,,
262,Henning,56,MN,,
263,Henriette,58,MN,,
264,Herman,26,MN,,
265,Hermantown,69,MN,,
266,Heron Lake,32,MN,,
267,Hewitt,77,MN,,
268,Hibbing,69,MN,,
269,Hillman,49,MN,,
270,Hills,67,MN,,
271,Hilltop,2,MN,,
272,Hinckley,58,MN,,
273,Hitterdal,14,MN,,
274,Hoffman,26,MN,,
275,Hokah,28,MN,,
276,Holdingford,73,MN,,
277,Holland,59,MN,,
278,Hollandale,24,MN,,
279,Holloway,76,MN,,
280,Holt,44,MN,,
281,Houston,28,MN,,
282,Howard Lake,86,MN,,
283,Hoyt Lakes,69,MN,,
284,Hugo,82,MN,,
285,Humboldt,35,MN,,
286,Hutchinson,46,MN,,
287,Ihlen,59,MN,,
288,Dawson,37,MN,,
289,Dayton,27,MN,,
290,Dayton,86,MN,,
291,De Graff,76,MN,,
292,Deephaven,27,MN,,
293,Deer Creek,56,MN,,
294,Deer River,31,MN,,
295,Deerwood,18,MN,,
296,Delano,86,MN,,
297,Delavan,22,MN,,
298,Delhi,64,MN,,
299,Dellwood,82,MN,,
300,Denham,58,MN,,
301,Dennison,25,MN,,
302,Dennison,66,MN,,
303,Dent,56,MN,,
304,Detroit Lakes,3,MN,,
305,Dexter,50,MN,,
306,Dilworth,14,MN,,
307,Dodge Center,20,MN,,
308,Donaldson,35,MN,,
309,Donnelly,75,MN,,
310,Doran,84,MN,,
311,Dover,55,MN,,
312,Dovray,51,MN,,
313,Dumont,78,MN,,
314,Dundas,66,MN,,
315,Dundee,53,MN,,
316,Dunnell,45,MN,,
317,Eagle Bend,77,MN,,
318,Eagle Lake,7,MN,,
319,East Bethel,2,MN,,
320,East Grand Forks,60,MN,,
