id,city_id,year,utility_id1,residential_electricity,com_and_ind_electricity,residential_wind_electricity,com_and_ind_wind_electricity,utility_id2,residential_electricity2,com_and_ind_electricity2,residential_wind_electricity2,com_and_ind_wind_electricity2,utility_id3,residential_electricity3,com_and_ind_electricity3,residential_wind_electricity3,com_and_ind_wind_electricity3
114,15,2008,2,80350,125251,0,0,,0,0,0,0,,0,0,0,0
115,15,2009,2,78063,117216,0,0,,0,0,0,0,,0,0,0,0
116,15,2010,2,82146,119649,0,0,,0,0,0,0,,0,0,0,0
117,15,2011,2,82888,122798,0,0,,0,0,0,0,,0,0,0,0
118,15,2012,2,82321,124742,0,0,,0,0,0,0,,0,0,0,0
119,15,2013,2,81335,122055,0,0,,0,0,0,0,,0,0,0,0
120,6,2007,2,106218,144742,975,0,,0,0,0,0,,0,0,0,0
121,6,2008,2,101601,144483,1010,0,,0,0,0,0,,0,0,0,0
122,6,2009,2,97728,140039,993,0,,0,0,0,0,,0,0,0,0
123,6,2010,2,102337,140488,1029,0,,0,0,0,0,,0,0,0,0
124,6,2011,2,102561,144429,1022,0,,0,0,0,0,,0,0,0,0
125,6,2012,2,101856,140775,962,0,,0,0,0,0,,0,0,0,0
126,6,2013,2,100878,143181,1001,0,,0,0,0,0,,0,0,0,0
127,4,2007,11,342601.325,965296.017,0,0,,0,0,0,0,,0,0,0,0
128,4,2008,11,328030.122,963073.182,0,0,,0,0,0,0,,0,0,0,0
129,4,2009,11,325399.604,895688.01,0,0,,0,0,0,0,,0,0,0,0
130,4,2010,11,345076.045,899746.018,0,0,,0,0,0,0,,0,0,0,0
131,4,2011,11,346088.443,895116.253,0,0,,0,0,0,0,,0,0,0,0
132,4,2012,11,342986,887457,0,0,,0,0,0,0,,0,0,0,0
133,4,2013,11,348952.408,881733.971,0,0,,0,0,0,0,,0,0,0,0
134,23,2007,2,44681,101225,179,0,13,0,0,0,0,,0,0,0,0
135,23,2008,2,43587,98674,205,0,13,0,0,0,0,,0,0,0,0
