id,city_id,year,utility_ida,residential_nat_gasa,com_and_ind_nat_gasa,utility_idb,residential_nat_gasb,com_and_ind_nat_gasb,utility_idc,residential_nat_gasc,com_and_ind_nat_gasc
1188,9,2013,3,2564507,2437310,0,0,0,0,0,0
1189,13,2007,10,8513388.346,5558528.407,0,0,0,0,0,0
1190,13,2008,10,8045552,5727020,0,0,0,0,0,0
1191,13,2009,10,7802299,5453576,0,0,0,0,0,0
1192,13,2010,10,6996705.72,4963970,0,0,0,0,0,0
1193,13,2011,10,7532598.98,5148415.93,0,0,0,0,0,0
1194,13,2012,10,6175710,5569570,0,0,0,0,0,0
1195,13,2013,10,6107757.934,5186492.365,0,0,0,0,0,0
1196,20,2007,3,228175,367118,10,18878660,6593720,0,0,0
1197,20,2008,3,248662,540085,10,20872960,7365390,0,0,0
1198,20,2009,3,240193,517753,10,20580130,7360190,0,0,0
1199,20,2010,3,222718,495531,10,18703970,6695810,0,0,0
1200,20,2011,3,232298,521386,10,20371450,7283540,0,0,0
1201,20,2012,3,193444,422180,10,16848630,6158890,0,0,0
1202,20,2013,3,253258,555400,10,22171880,7841400,0,0,0
